Produtos;Valor;valor parcelado
Placa de Vídeo Galax RTX 4070TI NVIDIA GeForce Super EX Gamer 16GB, GDDR6X, TecLab Lite Click OC, DLSS3 G-Sync - 47UZM6MD7JDL;R$ 6.515,10;10x de R$ 723,90
Placa de Vídeo Duex GTX 1050 TI, NVIDIA GeForce, 4GB, GDDR5, 128 Bits - DX GTX1050TI-4GD5;R$ 866,77;10x de R$ 97,39
Placa De Video Star 4GB Hd7670, 128bits, DDR5, Low Profile, Hd7670-graphic;R$ 380,41;10x de R$ 42,26
Placa De Vídeo Gamer Nvidia Geforce Gtx750ti 4gb GDDR5;R$ 610,42;10x de R$ 61,04
Suporte Para Placa De Vídeo Ntc R15, Branco - R15WHT;R$ 23,65;1x de R$ 23,65
Placa De Video 4gb R7 240 Ddr5 128bits Vga/hdmi/dvi Pj7r240dr5 Pcyes;R$ 399,46;10x de R$ 46,99
Placa de Vídeo Intel Arc A750 Challenger D ASRock, 8 GB GDDR6 - 90-GA3HZZ-00UANF;R$ 1.529,98;10x de R$ 179,99
Placa de Vídeo NVIDIA Gigabyte GeForce RTX 4090 Gaming OC, 24GB, GDDR6X, DLSS Ray Tracing - GV-N4090GAMING OC-24GD;R$ 11.699,90;10x de R$ 1271,72
Placa De Vídeo RTX 3050 Ventus 2x Xs 8G Oc Msi GeForce, 8GB GDDR6, 128 Bits - 912-V809-4266;R$ 1.579,99;10x de R$ 175,55
Suporte Vertical Gpu Placa De Video Bracket PCi-e 4.0 16x;R$ 604,11;10x de R$ 63,59
Placa de Vídeo Nvidia Duex GT730, 4GB, DDR3, 128 Bits, Low Profile, HDMI, DVI, VGA - GT730LP-4GD3;R$ 344,95;10x de R$ 35,19
Placa Vídeo Nvidia Gaming Geforce Gt730 2gb Ddr3 PCi Express;R$ 278,17;10x de R$ 27,81
Placa De Vídeo GTX 1650 Nb Colorful Geforce Nvidia, 4GB, GDDR6, V3-V;R$ 1.199,00;10x de R$ 119,90
Placa de Vídeo Afox AMD Radeon RX 560, 4GB GDDR5, 128 Bits - AFRX560-4096D5H4-V2;R$ 1.455,85;10x de R$ 173,31
Placa De Video Vxpro 4gb Nvidia Gt 730 Ddr3 Low Profile Gt730lp-4gd3-c;R$ 274,03;10x de R$ 30,79
Placa De Vídeo Gigabyte RTX 4090 Windforce V2N NVIDIA GeForce 24GB, GDDR6X, 384-Bit - GV-N4090WF3V2-24GD;R$ 11.789,90;10x de R$ 1178,99
Placa De Vídeo Geforce Gt 710 PCyes Nvidia, 2GB, DDR3, 64 Bits - Pvgt7102gb;R$ 213,51;9x de R$ 26,65
Placa de Vídeo RTX 4000 PNY NVIDIA Quadro Ada SFF, 20GB GDDR6, 160bits - VCNRTX4000ADALP-PB;R$ 9.699,99;10x de R$ 1141,17
Placa de Vídeo RTX 4080 XLR8 Gaming Verto Epic-x RGB PNY NVIDIA GeForce, 16 GB GDDR6X, DLSS, Ray Tracing - VCG408016TFXXPB1-O;R$ 6.999,99;10x de R$ 823,52
Placa de Vídeo RX 7900 XTX Magnetic Air Gaming Graphics Card with XFX Mercury AMD Radeon, 24GB GDDR6, Freesync - RX-79XMAIRB9;R$ 6.999,99;10x de R$ 823,52
Placa de Vídeo Galax NVIDIA GeForce GTX 1660, 6GB GDDR5, 1-Click OC - 60SRH7DSY91C;R$ 2.556,89;10x de R$ 255,68
Placa de Vídeo Quadro RTX A5000 PNY Nvidia, 24GB GDDR6, Ray Tracing - VCNRTXA5000-PB;R$ 15.999,99;10x de R$ 1882,35
Placa de Vídeo PCyes GeForce GTX 750 Ti, 4GB, GDDR5, 128bits, Dual Fan - Pa750tir5dffs;R$ 749,99;10x de R$ 74,99
Placa de Vídeo AMD Radeon RX 550, 2GB GDDR5, 128 Bits - AMD 2GBD5-HLEV2;R$ 1.255,75;10x de R$ 125,57
Placa De Vídeo RTX 4060 Gaming OC, Gigabyte Nvidia Geforce, 8GB, GDDR6, DLSS, Ray Tracing, Reflex, Studio, GV-N4060;R$ 3.473,90;10x de R$ 347,39
Placa de Vídeo PCYES, AMD RX550, 4GB RAM, Open GL 4.6, DP+HDMI+DVI, Windows e Linux;R$ 854,05;10x de R$ 89,90
Placa de Video RTX 4090 Gamerock OC Palit NVIDIA GeForce, 24GB GDDR6X, DLSS, Ray Tracing, G-Sync - NED4090S19SB-1020G;R$ 11.999,99;10x de R$ 1411,76
Placa de Vídeo RTX 5000 Ada PNY NVIDIA Quadro , 32GB GDDR6, 256bits - VCNRTX5000ADA-PB;R$ 28.899,99;10x de R$ 3360,46
Placa de Vídeo Gaming PULSE AMD Radeon RX 7600, 8GB GDDR6 - 11324-01-20G;R$ 1.899,99;10x de R$ 223,52
Placa de Vídeo MSI GeForce RTX 4060 Gaming X, 8GB, GDDR6, 128 Bits - 912-V516-079;R$ 2.159,90;10x de R$ 215,99
Placa De Vídeo Keepdata Geforce GT 730, 2GB, DDR3 - Low Profile Kdgt730-2gd3/128b;R$ 427,86;10x de R$ 42,78
Placa De Video Amd Radeon Rx580 8GB 256bits GDDR5 HDMI Preta;R$ 859,00;10x de R$ 89,47
Placa De Vídeo RTX 3060 Zotac Nvidia Geforce, 12GB, GDDR6, 192 Bits - A30600p-10m;R$ 2.031,73;10x de R$ 253,96
Placa De Vídeo Xfx AMD Radeon Rx 580, 8GB GDDR5, 256bits - Rx-580p8dfd6;R$ 1.399,95;10x de R$ 139,99
Placa de Vídeo PCYes AMD Radeon RX 550, 4GB, PCI Express, Freesync - PJRX550DR5128B;R$ 1.599,20;10x de R$ 199,90
Placa de Vídeo PNY Quadro A2000 RTX A2000 NVIDIA GeForce 12GB , GDDR6 192bits - Vcnrtxa200012GB-pb;R$ 5.554,26;10x de R$ 555,42
Placa de Vídeo Power Color Fighter AMD Radeon AXRX 6600, 8GB, GDDR6 - 8GBD6-3DH;R$ 2.220,90;10x de R$ 222,09
Placa De Video Bluecase 4gb Rx 550 Ddr5 128bits - Dp/hdmi/dvi;R$ 555,80;10x de R$ 55,58
Cabo Adaptador Energia 6pin Para 8pin Pci-e Extensor Divisor, Conector Splitter, Adaptador Y, Amarelo - Placa De Vídeo;R$ 23,90;1x de R$ 23,90
Placa De Vídeo Revenger Geforce 4gb Ddr5 128 Bits;R$ 642,11;10x de R$ 64,21
Placa de Vídeo PCYes NVIDIA GeForce GT 740, 4GB DDR5, 128 Bits - PA740GT12804D5FZ;R$ 415,86;10x de R$ 51,98
Placa de Vídeo Asus NVIDIA GeForce GTX1650, 4GB DDR6, Displayport, DVI, HDMI - 90YV0EZ0-M0NA00;R$ 1.362,21;10x de R$ 146,47
Placa de Vídeo Afox NVIDIA GeForce GT210, 1GB DDR3, 64 Bits;R$ 152,99;6x de R$ 28,33
Placa de Vídeo Afox NVIDIA GeForce GT740, 4GB GDDR5, 128 Bits, HDMI, DVI, VGA - AF740-4096D5H2-V2;R$ 466,57;10x de R$ 55,54
Placa De Vídeo Pcyes Nvidia Geforce G 210, 1GB, DDR3, 64Bits - Pvg2101gbr364lp;R$ 248,90;9x de R$ 27,65
Placa De Vídeo BRX, AMD RX 580, 8GB, GDDR5, 256Bit, VGA;R$ 944,46;10x de R$ 104,94
Placa de Vídeo Asus NVIDIA GeForce GTX 1650 TUF, 4GB GDDR6, 2 FANs;R$ 2.149,90;10x de R$ 214,99
Placa De Vídeo Gt730, GDDR3, 4GB, VGA, HD, Dvi, 128 Bits, 700mhz;R$ 294,41;10x de R$ 29,44
Placa de Vídeo Knup NVIDIA GeForce GT730, 2GB DDR3, 128 Bits, VGA/HDMI/DVI - KP-GT730/AB;R$ 565,24;10x de R$ 66,49
Placa de Vídeo Galax, NVIDIA GeForce RTX 3050 V2, 8GB GDDR6, LHR, 1-Click OC, DLSS, Ray Tracing - 35NSL8MD5YBP;R$ 1.949,00;10x de R$ 194,90
Placa de Vídeo RTX 4090 Suprim Liquid X MSI NVIDIA Geforce, 24 GB GDDR6X, DLSS, Ray Tracing - Geforce RTX 4090 SUPRIM LIQUID X 24G;R$ 13.499,99;10x de R$ 1588,23
Placa de Vídeo Afox NVIDIA GeForce GTX750TI, 2GB GDDR5, 128 Bits, HDMI/DVI/VGA - AF750TI-2048D5H5-V2;R$ 614,14;10x de R$ 68,23
Placa De Vídeo Gtx 1650 Inno3d NVIDIA GeForce 4GB GDDR6, Twin X2 Oc V3, 128-bit;R$ 832,90;10x de R$ 83,29
Placa de Vídeo RX 7900 XT Phantom Gaming ASRock AMD, 20 GB GDDR6, ARGB - 90-GA3XZZ-00UANF;R$ 5.999,99;10x de R$ 705,88
Placa De Video Rx 580 Revenger 8GB AMD-GDDR5;R$ 785,00;10x de R$ 78,50
Placa de Vídeo MSI NVIDIA GeForce GTX 1650 D6 Ventus OCV1, 4GB, GDDR6 - 912-V809-3616;R$ 1.035,00;10x de R$ 103,50
Gpu Nv RTX3050 6gb Gddr6 Pegasus 96bits Gainward Ne63050018je-1070e;R$ 1.394,13;10x de R$ 174,26
Placa De Vídeo Nvidia Geforce Rtx 4070 Gigabyte Eagle, 12gb, Gddr6x, 192bits Gv-n4070eagle Oc-12gd;R$ 5.089,90;10x de R$ 565,54
Placa De Video PCyes Geforce Gtx 1660 Ti 6gb Gddr6 Branco;R$ 2.519,88;10x de R$ 251,98
Placa de Vídeo Dex AMD R7 240, 2GB DDR5, 128 Bits, VGA/DVI/HDMI - PV-04A;R$ 477,00;10x de R$ 53,00
Placa de Vídeo Gpu Radeon Rx 5700 Xt 8GB Jieshuo;R$ 1.940,00;10x de R$ 200,00
Placa de Vídeo Asrock Radeon RX 7600 XT Challenger, 16GB OC GDDR6, 128-bits - 90-GA4YZZ-00UANF;R$ 3.389,40;10x de R$ 338,94
Placa De Vídeo RTX 3090 Msi Gaming, 24GB, GDDR6, 384Bits;R$ 6.899,90;10x de R$ 766,65
Placa De Video Gamer Nvidia Gtx 1060 6gb 192bits GDDR5 HDMI;R$ 1.379,00;10x de R$ 137,90
Placa De Video Nvidia Geforce Gt 730 4gb 128bits GDDR3 HDMI;R$ 379,00;10x de R$ 37,90
Placa de Vídeo GT740 Keepdata, 2GB, DDR5, VGA, 128bit - Kdgt740-2gd5/b;R$ 477,90;10x de R$ 53,10
Gt 1030 2GB 64bits Pcwinmax Gt1030-2gd5 DDR5;R$ 460,67;10x de R$ 51,18
Placa De Vídeo RTX 4060 Windforce Oc Gigabyte NVIDIA Geforce, 8GB, GDDR6, Dlss, Ray Tracing, Gv-N4060wf2oc-8gd;R$ 3.283,90;10x de R$ 328,39
Suporte Para Placa De Vídeo Ntc H21, Branco - H21WHT;R$ 36,96;1x de R$ 36,95
Placa De Video Zotac Gaming, GeForce RTX 4060TI, 8GB GDDR6, 128-BIT, Twin Edge - ZT-D40610E-10M;R$ 3.546,77;10x de R$ 422,23
Placa de Vídeo GTX 1660 Super NB V2-V Colorful, GeForce NVIDIA, 6GB, GDDR6, 192 Bits;R$ 4.499,99;10x de R$ 449,99
Placa De Vídeo Duex Geforce Gt 210, 1gb Ddr3, 64 Bits, Low Profile, HDMI/dvi/vga - G210lp-1gd3;R$ 123,96;5x de R$ 29,16
Placa de Vídeo PNY NVIDIA GeForce Quadro T1000, 8GB GDDR6 - VCNT10008GB-PB;R$ 4.038,00;10x de R$ 403,80
Placa De Vídeo RTX 4060 TI Gaming X Slim, Msi Nvidia, 16GB, GDDR6, 128Bits, White - 912-V517-001;R$ 4.636,17;10x de R$ 463,61
Placa De Vídeo Nvidia Duex Geforce GT 610, 1GB, GDDR3, 64 Bits;R$ 156,80;6x de R$ 27,50
Placa De Vídeo Rtx 4090, 24GB, GDDR6x, 384bits Gaming Slim Msi - 912-v510-262;R$ 11.899,90;10x de R$ 1189,99
Placa De Vídeo Afox AMD Radeon R5 230, 1GB, DDR3 - AFR5230-1024D3L9-V2;R$ 157,44;7x de R$ 25,27
Placa de Vídeo Galax NVIDIA GeForce RTX 3090 GF, 24GB GDDR, 1-Click OC, 384 Bits, DP, HDMI - 39NSM5MD1GNA;R$ 18.868,00;10x de R$ 2120,00
Placa De Video G210, 1GB, DDR3 64 Bit - EGAN2101D3/64-IP;R$ 190,90;7x de R$ 27,27
Placa De Vídeo RX 6750 XT Mech 2x 12G V1 Radeon, 12GB, GDDR6, Freesync, Dual Fan;R$ 6.299,20;10x de R$ 699,91
Placa De Vídeo Keepdata 2GB, Geforce Gt610, DDR3 - Low Profile Kdgt610-2gd3/64b;R$ 345,67;10x de R$ 34,56
Placa de Vídeo PCYes NVIDIA GeForce GTX 1650 Super, 4GB GDDR6, 128 Bits;R$ 1.477,47;10x de R$ 147,74
Placa De Vídeo Geforce RTX 3060 Twin Edge Zotac Gaming Geforce, 12gb Gddr6, 15 Gbps, Ray Tracing -zt-a30600-10m;R$ 2.397,16;10x de R$ 239,71
Placa De Video Soyo Monarch Dragon Amd Rx580 8GB GDDR5 256bit PCi3.0;R$ 899,00;10x de R$ 89,90
Placa De Video Brx Geforce Gt 610, 2GB, DDR3, 64 Bits HDMI, VGA, DVI;R$ 163,53;7x de R$ 27,48
Placa de Vídeo Asus AMD, 12GB GDDR6 - TUF-RX6700XT-O12G-GAMING;R$ 10.507,27;10x de R$ 1050,72
Placa De Vídeo Asus Nvidia Geforce RTX 4060, Dual White Oc, 8GB, GDDR6, 128 Bits - Dual-Rtx4060-O8g;R$ 2.897,87;10x de R$ 289,78
Placa de Vídeo DEX NVIDIA GeForce GTX550TI, 1GB DDR5, 128 Bits, VGA/DVI/HDMI - PV-05;R$ 441,23;10x de R$ 49,02
Placa de Vídeo Afox NVIDIA GeForce GTX750, 2GB GDDR5, 128 Bits, HDMI, DVI, VGA - AF750-2048D5L4;R$ 838,32;10x de R$ 83,83
Acessório Lian Li Cabo PCI-E, 4.0, X16, Riser, Preto;R$ 744,90;10x de R$ 74,48
Placa de Vídeo Afox AMD Radeon R5 220, 2GB SDDR3 - AFR5220-2048D3L5-V2;R$ 184,49;8x de R$ 25,62
Placa de Vídeo GT210 Keepdata, 1GB, DDR3, VGA, 64bit - Kdgt210-1gd3/6b;R$ 185,00;7x de R$ 26,42
Placa de vídeo AMD Radeon RX 550 4GB, GDDR5 128bits, Pcwinmax Rx550-4gdsgddr5;R$ 627,19;10x de R$ 63,99
Placa De Vídeo RTX 3050 Ventus 2X OC MSI NVIDIA GeForce, 8GB, GDDR6, 128 Bits;R$ 2.059,95;10x de R$ 205,99
Placa De Vídeo Galax RTX 4070 1-click Oc 3x, 12GB, GDDR6x, 192bits - 47nom7md7qoc;R$ 4.309,99;10x de R$ 507,05
Placa De Vídeo Sapphire Multi Radeon RX 6500 Xt Gaming Oc, 4GB, GDDR6, Fsr, Ray Tracing - Preto;R$ 1.388,24;10x de R$ 163,32
Placa Mãe Micro Atx Ddr4 HDMI Áudio Alta Definição LGA 1151 M.2;R$ 345,27;10x de R$ 34,52
Placa De Vídeo Gigabyte Nvidia, Geforce RTX 4070 Ti (12GB / Pci-e) Gig;R$ 9.727,90;10x de R$ 972,79
Placa De Vídeo RTX3060 8GB Twin X2 G6 128bits Inno3d - N30602-08d6-11902130;R$ 2.274,52;10x de R$ 227,45
Placa De Vídeo Afox, Nvidia Geforce GTX 750 4GB GDDR5 128 Bits, Single Fan, DVI, VGA, HDMI - Af750-4096d5h6;R$ 548,79;10x de R$ 55,99
Placa de Vídeo Colorful NVIDIA GeForce RTX 3060 Mini Igame, 192 Bits;R$ 2.339,00;10x de R$ 259,88
Placa de Vídeo Palit NVIDIA GeForce RTX 3060 Dual, 12GB GDDR6, LHR, 192 Bits, DLSS, Ray Tracing - NE63060019K9-190A;R$ 2.059,90;10x de R$ 205,99
Placa de Vídeo Galax NVIDIA GeForce RTX 3070 EX OC, 8GB, 256 Bits;R$ 4.684,58;10x de R$ 468,45
Placa De Vídeo Rtx 4070 Ti Super Ex Galax Nvidia Geforce, 16GB, GDDR6X - 47UZM6MD9BUP;R$ 8.505,84;10x de R$ 850,58
Gt 1030 2GB 64bits Pcwinmax Gt1030-2gd4 DDR4;R$ 453,74;10x de R$ 50,41
Placa De Video Asus Radeon, Rx 7600, V2 Oc Edition, 8GB, GDDR6;R$ 2.380,00;10x de R$ 238,00
Placa de Vídeo Colorful NVIDIA GeForce GTX 1630, 4GB GDDR6 - NB 4GD6-V;R$ 1.319,90;10x de R$ 131,99
Placa de vídeo Radeon Rx 550, 4GB, 128bits, Pcwinmax GDDR5 - Rx550-4gd5;R$ 512,15;10x de R$ 56,90
Placa de Vídeo Galax NVIDIA GeForce GTX 1050 TI, 4GB GDDR5, 1Click OC Dual, 128 Bits - 50IQH8DSQ3CC;R$ 1.693,67;10x de R$ 190,30
Placa de Vídeo Duex NVIDIA GeForce G 210, 1GB DDR3 - G210LP-1GD3;R$ 129,99;5x de R$ 25,99
Suporte Placa De Vídeo Coolmoon, Argb, Controlável, 5v, 3 Pin;R$ 128,45;5x de R$ 25,69
Placa de Vídeo GT 730 Nvidia GeForce PCyes, 4GB, GDDR5, 64 BITS - PVGT7304GB;R$ 418,90;10x de R$ 41,89
Placa De Video Galax RTX 4070 Super, 12GB, GDDR6X, 192-bit - 47SOM7MD9PSU;R$ 4.799,00;10x de R$ 505,15
Placa de Vídeo ASRock AMD Radeon, RX 6600 CLD 8G, 8GB, GDDR6, 128 Bits - 90-GA2RZZ-00UANF;R$ 1.990,00;10x de R$ 199,00
Placa De Vídeo Zotac, RTX 3050, 6GB, Lp Gddr6, 96bits - Zt-a30510l-10l;R$ 1.453,78;10x de R$ 181,72
Placa De Video Bluecase 4gb Rx 560 Ddr5 128bits - Dp/hdmi/dvi;R$ 605,00;10x de R$ 60,50
Placa De Vídeo RTX 4060 TI Ventus 3x Oc, Msi Nvidia, 8GB, GDDR6 - 912-v515-040;R$ 3.102,42;10x de R$ 387,80
Placa de Vídeo Palit NVIDIA GeForce RTX 3050 Dual, 8GB GDDR6, LHR, DLSS, Ray Tracing - NE63050019P1;R$ 3.798,33;10x de R$ 452,18
Placa De Video Nvidia Geforce Gt 1030 2Gb Gddr5 64bit, Single Fan Low Profile - Pa1030gtg5lp;R$ 565,23;10x de R$ 66,49
Placa De Vídeo RTX 4060 EAGLE OC Gigabyte Nvidia Geforce, 8GB, GDDR6, 128 BITs, DISS, Ray Tracing - GV-N4060EAGLE;R$ 3.366,90;10x de R$ 336,69
Placa De Video Rx550 4gb Full Size Rx550-4gd5 Duex;R$ 499,99;10x de R$ 49,99
Extensor Placa Riser Knup Kp-pl906, Pci-e 009s, Cabo USB 3.0 Vermelho;R$ 60,32;2x de R$ 30,16
Placa de Vídeo PNY NVIDIA GeForce, RTXA2000 - VCNRTXA2000-PB I;R$ 4.225,53;10x de R$ 422,55
Placa De Vídeo Sapphire Multi Amd Radeon Rx 7700 Xt, 12Gb, Gddr6, Fsr, Ray Tracing, 11335-04-20g;R$ 4.347,00;10x de R$ 434,70
Placa De Vídeo PCyes RTX 2060 6GB, GDDR6, 192-BITS, 1X DP, 1X HDMI, 1X DVI-D - PVRTX20606GB;R$ 1.807,45;10x de R$ 180,74
Placa De Vídeo Keepdata Geforce Gtx960 4gb Ddr5 PCi-express;R$ 1.224,00;10x de R$ 136,00
Kit Suporte Vertical Gpu Nzxt - Branco - Ab-rh175-w1;R$ 972,90;10x de R$ 97,29
Placa De Vídeo Pcyes Nvidia, Geforce GTX 750 Ti, GDDR5 2GB, 128bits, Dual Fan - Pj750tir5df 3568;R$ 579,90;10x de R$ 57,98
Placa de Vídeo XFX AMD Radeon RX 580 GTS XXX OC, 8GB GDDR5 - RX-580P8DFD6;R$ 1.637,90;10x de R$ 163,79
Placa de Vídeo PCYes AMD Radeon R5 230, 2GB DDR3, 64 Bits - PA230DR364LP;R$ 255,77;10x de R$ 26,09
Placa De Vídeo Pcyes Geforce GTX 750 Ti, 2GB, GDDR5, 128 Bits, Dual Fan, Pj750tir5df;R$ 559,84;10x de R$ 65,86
Placa de Vídeo Galax, NVIDIA GeForce GTX 1650 EX, 4GB GDDR6, 1 Click OC, 192 Bits, DVI, HDMI, E Displayport - 65SQL8DS66E6;R$ 1.369,90;10x de R$ 136,99
Placa de vídeo Galax NVIDIA GeForce RTX 4070 TI Super SG, 16GB, GDDR6X, DLSS Ray Tracing - 47UZM6MD6MER;R$ 6.723,00;10x de R$ 747,00
Placa De Vídeo Gigabyte Nvidia Geforce RTX 4070 Ti, Eagle Oc, 12GB GDDR6x, 192bits, Gv-n407teagle;R$ 9.292,90;10x de R$ 929,29
Placa de Vídeo MSI GeForce RTX 4070 Super Ventus 2X OC White, 12GB, GDDR6X, 192 Bits - 912-V513-642;R$ 5.674,47;10x de R$ 567,44
Placa de Vídeo GT 740 Duex NVIDIA GeForce, 4GB, GDDR3, 64 Bits Low Profile - GT740LP-4GD3-A;R$ 372,83;10x de R$ 39,24
Placa de Vídeo Asus Dual NVIDIA GeForce RTX 4060 TI EVO OC, 8GB, GDDR6, 128 Bits - DUAL-RTX4060TI-O8G-EVO;R$ 3.817,15;10x de R$ 454,42
Placa de Vídeo Afox NVIDIA GeForce GT730, 2GB DDR3, HDMI/DVI/VGA;R$ 463,90;10x de R$ 46,39
Placa de Ví­deo MSI NVIDIA GeForce RTX 2060, 6GB GDDR6, Ventus GP OC - 912-V375-808;R$ 2.496,36;10x de R$ 249,63
Placa De Video Bluecase 4gb Gt740 Ddr5 128bits - Dvi/hdmi/vga;R$ 439,00;10x de R$ 43,90
Placa De Vídeo Pny Nvidia, Quadro RTX A4500, 20GB, GDDR6 - Vcnrtxa4500-Pb;R$ 11.824,07;10x de R$ 1182,40
Placa De Vídeo Pcyes Nvidia Geforce Gtx 1050 Ti, 4 GB Gddr5, 128bits, Dual Fan, Graffiti Series;R$ 1.119,90;10x de R$ 111,99
Placa de Vídeo Afox NVIDIA GeForce GT420, 2GB DDR3 - AF420-2048D3L2;R$ 323,99;10x de R$ 35,99
Placa De Vídeo Zotac Trinity Nvidia, Rtx 4070 Ti Super, 16GB, G6x, 256bits, Oc;R$ 8.580,91;10x de R$ 858,09
Placa de Vídeo Zotac NVIDIA GeForce RTX 3060 Twin Edge, 12GB GDDR6 - ZT-A30600E-10M;R$ 2.382,53;10x de R$ 283,63
Placa de Vídeo Afox NVIDIA GeForce GT730, 4GB DDR3, 128 Bits, HDMI, DVI, VGA - AF730-4096D3L6;R$ 449,99;10x de R$ 44,99
Placa de Vídeo PCYes NVIDIA GeForce G210, 1GB DDR3, HDMI/VGA/DVI - PA210G6401D3LP;R$ 279,00;10x de R$ 27,90
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 2060 D6, 6GB GDDR6, 192 Bits;R$ 4.419,79;10x de R$ 450,99
Placa de Vídeo Challenger ASRock, AMD Radeon RX 7600, 8GB, GDDR6, 128 Bits - 90-GA41ZZ-00UANF;R$ 2.299,00;10x de R$ 229,90
Placa de Vídeo MSI NVIDIA GeForce GTX 1050 TI 4GT OC, 4GB, Até 3 Monitores - 912-V809-2272;R$ 1.168,27;10x de R$ 116,82
Placa De Vídeo Msi, Nvidia, Geforce RTX 4080, 16GB, 256 Bit, GDDR6x;R$ 8.162,45;10x de R$ 841,49
Placa De Vídeo Rtx 4070 12gb Super Ghost 192bits Gainward - Ned407s019k9-1043b;R$ 5.635,98;10x de R$ 626,22
Placa De Vídeo Zotac Nvidia RTX 4060, Spider-Man, 8GB, 128bits, Oc;R$ 2.839,91;10x de R$ 338,08
Placa De Vídeo BRX AMD R5 240, 2GB, GDDR 3, 128Bit;R$ 269,90;10x de R$ 26,99
Placa de Vídeo Afox NVIDIA GeForce GT210, 1GB DDR3 - AF210-1024D3L8;R$ 204,00;9x de R$ 26,66
Placa de Vídeo Duex NVIDIA GeForce GTX 750TI, 2GB DDR5 - GTX750TI-2GD5;R$ 642,01;10x de R$ 67,58
Placa De Vídeo Galax RTX 4060 Geforce, 8GB, GDDR6, 128 Bits, Ray Tracing - 46nsl8md8zoc;R$ 2.339,91;10x de R$ 259,99
Placa De Vídeo Rtx 4070ti 16GB, Super 256 Bits, Gddr6x Ventus 2x Oc - 912-v513-628;R$ 8.484,30;10x de R$ 1010,03
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3050 Eagle, 8GB GDDR6, DLSS, Ray Tracing - GV-N3050EAGLE-8GD;R$ 3.369,90;10x de R$ 336,99
Placa De Vídeo Asus Geforce, Rtx 4060, Proart Oc 8g, GDDR6 128 Bits - Proart-rtx4060-o8g;R$ 3.110,02;10x de R$ 370,24
Placa De Vídeo Gainward, Nvidia RTX 3050, 8GB, GDDR6, 128bits, Pegasus Series - Ne63050018p1-1070e;R$ 1.697,90;10x de R$ 169,79
Placa de Vídeo Duex AMD Radeon RX550, 4GB GDDR5, 128 Bits, HDMI/DVI/DISPLAYPORT - DX RX550-4GB;R$ 517,89;10x de R$ 58,19
Placa de Vídeo Galax NVIDIA GeForce RTX 3050 EX OC, 8GB GDDR6, LHR, 1-Click, 128 Bits - 35NSL8MD6YEX;R$ 1.624,90;10x de R$ 174,72
Placa de Vídeo DEX NVIDIA GeForce GTX 750TI 700 Series, 2GB DDR5 - PV-07;R$ 1.076,26;10x de R$ 113,29
Placa de Vídeo PCYes AMD Radeon 5450, 1GB DDR3, 64 Bits - PJ54506401D3LP;R$ 336,00;10x de R$ 42,00
Placa De Video Galax Geforce RTX 4060 Ti Teclab Dual (ad104) 8GB Gddr6 128 Bits - 46isl8mdaboc;R$ 3.139,83;10x de R$ 348,87
Placa De Vídeo Afox Gt610 2GB DDR3- Af610-2048d3l7-v6;R$ 252,59;10x de R$ 26,04
Placa de Vídeo Zotac NVIDIA GeForce Gaming RTX 3060 Twin Edge OC, 12GB GDDR6, 15Gbps, Ray Tracing - ZT-A30600H-10M;R$ 3.367,90;10x de R$ 336,79
Placa de Vídeo Asus NVIDIA GeForce RTX 3090 TUF Gaming, 24GB GDDR6X, 384 Bits - TUF-RTX3090-O24G-GAMING;R$ 18.180,00;10x de R$ 1818,00
Placa De Vídeo Gt730, 4GB, DDR3, 64bit;R$ 346,67;10x de R$ 34,66
Placa de Vídeo Asus NVIDIA GeForce RTX 2060, 12GB GDDR6, 128 Bits - DUAL-RTX2060-O12G-EVO;R$ 5.251,00;10x de R$ 590,00
Placa De Vídeo Colorful Nvidia Geforce GTX 1660 Super Nb Duo 6g-v, 6GB;R$ 1.399,00;10x de R$ 155,44
Placa de Vídeo Gainward NVIDIA GeForce RTX 3080 TI Phoenix G6X, 12GB, 384 Bits;R$ 7.899,56;10x de R$ 897,67
Placa de Vídeo Afox NVIDIA GeForce GT610, 2GB DDR3 - AF610-2048D3L5;R$ 345,05;10x de R$ 38,33
Placa de Vídeo PCYes NVIDIA GeForce Graffiti Series GTX 1650, 4GB GDDR6, 8Gbps - PA1650412820DR6;R$ 998,95;10x de R$ 99,89
Kit Adaptador Gpu Vertical Cooler Master Pcie 4.0 - Mca-u000r-kfvk03;R$ 685,90;10x de R$ 68,59
Placa De Vídeo Rtx 4070 12GB Super, 192 Bits, GDDR6x Ventus 2x Oc - 912-v513-641;R$ 5.549,00;10x de R$ 554,90
Placa De Vídeo Zotac Geforce Rtx 4070 Super Twin Edge Oc, 12GB, GDDR6x, 192bits - Zt-d40720h-10m;R$ 6.280,46;10x de R$ 628,04
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 4070 Aero OC, 12GB, GDDR6X, 192bits, RGB, DLSS Ray Tracing - GV-N4070AERO OC-12GD;R$ 6.150,47;10x de R$ 683,38
Cabo Adaptador Energia 6pin Para 2x 6+2pin Pci-e, Extensor Divisor, Conector Splitter, Adaptador Y, Preto e Amarelo - Placa De Vídeo;R$ 29,90;1x de R$ 29,90
Placa de Vídeo Afox AMD Radeon R5 230, 1GB DDR3, Low Profile - AFR5230-1024D3L4;R$ 197,99;8x de R$ 27,49
